salary_min,salary_max
6000,10000
22.80,25
4000,5000
4700,6700
4000,5000
22.80,25
9500,11700
4500,7500
8000,30000
15000,28000
3000,5000
3500,5000
1700,11700
5000,100000
3500,4000
3500,4500
3500,5000
3000,7000
4200,10000
4000,6000
4000,4800
