salary_min,salary_max
4000,15000
3700,4500
5000,7000
3000,6000
3000,6000
3000,6500
3000,6000
6000,9000
3500,6000
5360,6400
5000,8000
5000,8000
25,70
3864,6500
3000,5000
3500,10000
8000,12000
10000,
8000,13000
3000,6000
5500,6500
