salary_min,salary_max
1400,1500
3500,6000
7000,8000
5000,15000
3500,4000
4500,5500
10000,12000
5000,100000
4000,6000
3500,6000
4000,5000
9000,11000
6000,8000
7500,9000
4000,5500
10000,30000
3600,5500
3500,4500
5500,7000
3500,4500
