salary_min,salary_max
5000,6000
4500,5500
5500,6500
3000,3300
4000,4500
4000,4100
4000,11000
3000,9000
1000,10000
3000,7000
3200,6500
6000,9000
7000,20000
5800,7600
9000,16000
5000,25000
5000,8000
4800,8000
10000,100000
