salary_min,salary_max
3500,8000
6000,13000
6000,9000
6000,9000
5500,11000
5400,7500
3010,3400
4800,8000
4600,5000
4000,10000
7400,7600
23,28
35,40
9000,11000
3500,5000
6000,8000
3500,9000
1200,7500
5500,30000
3000,6000
3200,7800
3600,3800
